,X,Y,y_pred,geometry
4100,646000.0,1682200.0,1.0,POINT (646000 1682200)
4101,630000.0,1662200.0,0.0,POINT (630000 1662200)
4102,776000.0,1642200.0,0.0,POINT (776000 1642200)
4103,732000.0,1614200.0,0.0,POINT (732000 1614200)
4104,686000.0,1602200.0,1.0,POINT (686000 1602200)
4105,638000.0,1586200.0,0.0,POINT (638000 1586200)
4106,698000.0,1602200.0,0.0,POINT (698000 1602200)
4107,764000.0,1642200.0,0.0,POINT (764000 1642200)
4108,704000.0,1614200.0,1.0,POINT (704000 1614200)
4109,658000.0,1682200.0,1.0,POINT (658000 1682200)
4110,764000.0,1738200.0,0.0,POINT (764000 1738200)
4111,650000.0,1568200.0,1.0,POINT (650000 1568200)
4112,630000.0,1678200.0,0.0,POINT (630000 1678200)
4113,612000.0,1524200.0,0.0,POINT (612000 1524200)
4114,708000.0,1738200.0,0.0,POINT (708000 1738200)
4115,760000.0,1728200.0,0.0,POINT (760000 1728200)
4116,660000.0,1558200.0,1.0,POINT (660000 1558200)
4117,772000.0,1728200.0,0.0,POINT (772000 1728200)
4118,632000.0,1558200.0,1.0,POINT (632000 1558200)
4119,736000.0,1738200.0,0.0,POINT (736000 1738200)
4120,658000.0,1678200.0,1.0,POINT (658000 1678200)
4121,726000.0,1638200.0,0.0,POINT (726000 1638200)
4122,652000.0,1690200.0,0.0,POINT (652000 1690200)
4123,650000.0,1632200.0,0.0,POINT (650000 1632200)
4124,738000.0,1706200.0,0.0,POINT (738000 1706200)
4125,760000.0,1608200.0,0.0,POINT (760000 1608200)
4126,776000.0,1584200.0,1.0,POINT (776000 1584200)
4127,788000.0,1598200.0,0.0,POINT (788000 1598200)
4128,682000.0,1534200.0,1.0,POINT (682000 1534200)
4129,720000.0,1688200.0,0.0,POINT (720000 1688200)
4130,660000.0,1654200.0,0.0,POINT (660000 1654200)
4131,778000.0,1626200.0,0.0,POINT (778000 1626200)
4132,770000.0,1654200.0,0.0,POINT (770000 1654200)
4133,768000.0,1660200.0,0.0,POINT (768000 1660200)
4134,732000.0,1688200.0,0.0,POINT (732000 1688200)
4135,688000.0,1654200.0,0.0,POINT (688000 1654200)
4136,742000.0,1654200.0,0.0,POINT (742000 1654200)
4137,734000.0,1554200.0,0.0,POINT (734000 1554200)
4138,632000.0,1596200.0,0.0,POINT (632000 1596200)
4139,670000.0,1534200.0,0.0,POINT (670000 1534200)
4140,772000.0,1608200.0,0.0,POINT (772000 1608200)
4141,730000.0,1540200.0,0.0,POINT (730000 1540200)
4142,714000.0,1638200.0,0.0,POINT (714000 1638200)
4143,680000.0,1690200.0,0.0,POINT (680000 1690200)
4144,710000.0,1706200.0,0.0,POINT (710000 1706200)
4145,706000.0,1540200.0,0.0,POINT (706000 1540200)
4146,730000.0,1564200.0,0.0,POINT (730000 1564200)
4147,788000.0,1584200.0,0.0,POINT (788000 1584200)
4148,728000.0,1676200.0,0.0,POINT (728000 1676200)
4149,698000.0,1622200.0,0.0,POINT (698000 1622200)
4150,750000.0,1626200.0,1.0,POINT (750000 1626200)
4151,780000.0,1660200.0,0.0,POINT (780000 1660200)
4152,634000.0,1732200.0,0.0,POINT (634000 1732200)
4153,712000.0,1578200.0,1.0,POINT (712000 1578200)
4154,746000.0,1716200.0,0.0,POINT (746000 1716200)
4155,662000.0,1732200.0,0.0,POINT (662000 1732200)
4156,764000.0,1598200.0,0.0,POINT (764000 1598200)
4157,734000.0,1716200.0,0.0,POINT (734000 1716200)
4158,722000.0,1626200.0,0.0,POINT (722000 1626200)
4159,792000.0,1660200.0,0.0,POINT (792000 1660200)
4160,756000.0,1676200.0,0.0,POINT (756000 1676200)
4161,782000.0,1638200.0,0.0,POINT (782000 1638200)
4162,686000.0,1622200.0,1.0,POINT (686000 1622200)
4163,628000.0,1690200.0,0.0,POINT (628000 1690200)
4164,682000.0,1706200.0,0.0,POINT (682000 1706200)
4165,702000.0,1564200.0,0.0,POINT (702000 1564200)
4166,616000.0,1582200.0,0.0,POINT (616000 1582200)
4167,780000.0,1702200.0,0.0,POINT (780000 1702200)
4168,712000.0,1732200.0,0.0,POINT (712000 1732200)
4169,650000.0,1606200.0,0.0,POINT (650000 1606200)
4170,628000.0,1636200.0,0.0,POINT (628000 1636200)
4171,610000.0,1686200.0,0.0,POINT (610000 1686200)
4172,766000.0,1656200.0,0.0,POINT (766000 1656200)
4173,736000.0,1550200.0,0.0,POINT (736000 1550200)
4174,616000.0,1714200.0,0.0,POINT (616000 1714200)
4175,622000.0,1686200.0,0.0,POINT (622000 1686200)
4176,610000.0,1654200.0,0.0,POINT (610000 1654200)
4177,752000.0,1622200.0,1.0,POINT (752000 1622200)
4178,616000.0,1636200.0,0.0,POINT (616000 1636200)
4179,768000.0,1702200.0,0.0,POINT (768000 1702200)
4180,662000.0,1606200.0,0.0,POINT (662000 1606200)
4181,628000.0,1632200.0,0.0,POINT (628000 1632200)
4182,624000.0,1562200.0,0.0,POINT (624000 1562200)
4183,724000.0,1732200.0,0.0,POINT (724000 1732200)
4184,744000.0,1734200.0,0.0,POINT (744000 1734200)
4185,790000.0,1594200.0,0.0,POINT (790000 1594200)
4186,772000.0,1734200.0,0.0,POINT (772000 1734200)
4187,618000.0,1592200.0,0.0,POINT (618000 1592200)
4188,736000.0,1732200.0,0.0,POINT (736000 1732200)
4189,784000.0,1634200.0,0.0,POINT (784000 1634200)
4190,704000.0,1692200.0,1.0,POINT (704000 1692200)
4191,658000.0,1640200.0,0.0,POINT (658000 1640200)
4192,714000.0,1698200.0,0.0,POINT (714000 1698200)
4193,716000.0,1610200.0,1.0,POINT (716000 1610200)
4194,626000.0,1538200.0,0.0,POINT (626000 1538200)
4195,688000.0,1594200.0,0.0,POINT (688000 1594200)
4196,686000.0,1550200.0,0.0,POINT (686000 1550200)
4197,648000.0,1740200.0,0.0,POINT (648000 1740200)
4198,614000.0,1650200.0,0.0,POINT (614000 1650200)
4199,708000.0,1686200.0,1.0,POINT (708000 1686200)
4200,712000.0,1662200.0,0.0,POINT (712000 1662200)
4201,642000.0,1650200.0,0.0,POINT (642000 1650200)
4202,618000.0,1626200.0,0.0,POINT (618000 1626200)
4203,696000.0,1686200.0,0.0,POINT (696000 1686200)
4204,660000.0,1594200.0,0.0,POINT (660000 1594200)
4205,624000.0,1588200.0,0.0,POINT (624000 1588200)
4206,752000.0,1582200.0,0.0,POINT (752000 1582200)
4207,726000.0,1698200.0,0.0,POINT (726000 1698200)
4208,704000.0,1610200.0,1.0,POINT (704000 1610200)
4209,654000.0,1538200.0,0.0,POINT (654000 1538200)
4210,610000.0,1702200.0,0.0,POINT (610000 1702200)
4211,676000.0,1692200.0,0.0,POINT (676000 1692200)
4212,670000.0,1640200.0,0.0,POINT (670000 1640200)
4213,690000.0,1728200.0,0.0,POINT (690000 1728200)
4214,646000.0,1566200.0,1.0,POINT (646000 1566200)
4215,696000.0,1582200.0,0.0,POINT (696000 1582200)
4216,634000.0,1702200.0,0.0,POINT (634000 1702200)
4217,732000.0,1692200.0,0.0,POINT (732000 1692200)
4218,766000.0,1622200.0,0.0,POINT (766000 1622200)
4219,646000.0,1640200.0,0.0,POINT (646000 1640200)
4220,708000.0,1672200.0,0.0,POINT (708000 1672200)
4221,656000.0,1662200.0,0.0,POINT (656000 1662200)
4222,642000.0,1626200.0,0.0,POINT (642000 1626200)
4223,782000.0,1720200.0,0.0,POINT (782000 1720200)
4224,716000.0,1594200.0,1.0,POINT (716000 1594200)
4225,660000.0,1740200.0,0.0,POINT (660000 1740200)
4226,618000.0,1550200.0,0.0,POINT (618000 1550200)
4227,660000.0,1578200.0,1.0,POINT (660000 1578200)
4228,738000.0,1546200.0,0.0,POINT (738000 1546200)
4229,610000.0,1718200.0,0.0,POINT (610000 1718200)
4230,630000.0,1550200.0,0.0,POINT (630000 1550200)
4231,672000.0,1740200.0,0.0,POINT (672000 1740200)
4232,632000.0,1578200.0,1.0,POINT (632000 1578200)
4233,644000.0,1662200.0,0.0,POINT (644000 1662200)
4234,670000.0,1626200.0,0.0,POINT (670000 1626200)
4235,778000.0,1622200.0,0.0,POINT (778000 1622200)
4236,680000.0,1672200.0,0.0,POINT (680000 1672200)
4237,678000.0,1728200.0,0.0,POINT (678000 1728200)
4238,674000.0,1566200.0,0.0,POINT (674000 1566200)
4239,684000.0,1582200.0,0.0,POINT (684000 1582200)
